booking_id,booking_date,checkin_date,checkout_date,nights_stayed,adults,children,room_type,booking_channel,country,price_per_night,special_requests,is_canceled,previous_stays,satisfaction_score
BK000001,2023-07-02,2023-11-28,2023-12-09,11,1,1,Standard,OTA,IT,105.61,0,0,6,3.6
BK000002,2023-08-05,2023-10-13,2023-10-23,10,1,0,Suite,Corporate,ES,308.97,0,0,0,4
BK000003,2022-11-30,2022-12-23,2022-12-31,8,3,0,Executive,Direct,ES,430.09,1,0,0,4.2
BK000004,2023-01-17,2023-04-12,2023-04-17,5,2,0,Standard,Direct,US,103.46,2,0,3,4.7
BK000005,2025-11-04,2026-01-01,2026-01-04,3,1,0,Deluxe,OTA,ES,214.25,1,0,0,4.7
BK000006,2025-07-06,2025-11-28,2025-12-06,8,2,0,Suite,Corporate,FR,252.07,0,0,0,3.9
BK000007,2024-06-29,2024-11-10,2024-11-14,4,1,0,Suite,Travel_Agent,IT,295.37,0,0,1,5
BK000008,2025-08-21,2025-10-28,2025-11-02,5,2,2,Standard,OTA,CH,115.62,0,0,0,4.8
BK000009,2024-07-12,2024-10-08,2024-10-09,1,1,0,Deluxe,Travel_Agent,UK,191.9,2,0,0,4.4
BK000010,2023-02-23,2023-05-15,2023-05-17,2,3,1,Deluxe,Travel_Agent,CA,156.84,0,0,0,3.5
BK000011,2025-01-02,2025-05-26,2025-05-27,1,2,1,Executive,Direct,NL,332.02,0,0,0,4
BK000012,2025-01-06,2025-06-24,2025-06-28,4,3,1,Executive,Corporate,NL,561.05,0,0,0,4.3
BK000013,2022-06-20,2022-10-27,2022-11-08,12,3,0,Suite,Travel_Agent,CH,307.75,0,0,0,4.3
BK000014,2024-12-11,2025-03-06,2025-03-13,7,3,0,Standard,Travel_Agent,BE,108.46,0,0,0,4.1
BK000015,2025-06-12,2025-08-07,2025-08-18,11,1,0,Deluxe,Direct,DE,219.33,0,0,0,4.2
BK000016,2023-03-05,2023-08-15,2023-08-25,10,2,0,Suite,OTA,CA,440.02,0,0,0,4.5
BK000017,2023-10-23,2024-03-09,2024-03-11,2,2,0,Standard,Travel_Agent,CH,108.03,0,0,0,3.5
BK000018,2024-06-02,2024-11-01,2024-11-04,3,1,2,Standard,Corporate,CA,120.58,0,0,0,3.4
BK000019,2025-09-26,2025-11-21,2025-12-01,10,1,0,Suite,OTA,US,301.9,0,0,2,5
BK000020,2024-10-26,2025-03-11,2025-03-20,9,1,0,Standard,OTA,BE,136.07,0,0,5,3.7
BK000021,2024-09-14,2024-10-05,2024-10-15,10,1,0,Suite,OTA,CA,311.82,2,0,2,4.3
BK000022,2023-06-09,2023-07-23,2023-08-05,13,3,0,Standard,Travel_Agent,CA,183.44,4,1,0,0
BK000023,2023-09-29,2023-12-12,2023-12-25,13,3,0,Deluxe,Corporate,ES,258.04,3,0,0,3.3
BK000024,2025-02-01,2025-06-27,2025-07-04,7,2,0,Suite,Corporate,IT,336.07,3,0,3,5
BK000025,2022-10-24,2023-02-07,2023-02-20,13,2,0,Standard,OTA,IT,130.53,2,0,5,3.6
BK000026,2022-10-29,2023-03-13,2023-03-17,4,2,0,Executive,Travel_Agent,IT,419.97,0,0,5,4.5
